,address_street,address_city_state,listed_price,days_on_market,building_area,basement_features,bedrooms,bathrooms,full_bathrooms,appliances_list,flooring_type,garage_spaces,parking_features,sewer_type,year_built,construction_materials,property_type,property_subtype,architecture_style,mls_status,listing_status,virtual_tour_url,mls_id,elementary_school,elementary_school_district,jr_mid_school,jr_mid_school_district,high_school,high_school_district,lot_area,tax_block,tax_lot,tax_map_num,tax_amount
97,222-02 38th Ave,"Bayside, NY 11361",1980000,42,,,4.0,5.0,4.0,,Hardwood,1.0,"Private,Attached,Garage",,2013.0,,Residential,Single Family Residence,,A,Active,,3281907,,Queens 26,,Queens 26,,Queens 26,0.11,6195,1,,10800.0
98,144-55 Melbourne Ave #3F,"Flushing, NY 11367",225000,86,,,,,,,,,,,1954.0,,Coop,,,,,,,,,,,,,,,,,
99,15-13 149th St,"Whitestone, NY 11357",798000,3,,,3.0,1.0,1.0,,,,"None,On Street",,1925.0,,Residential,Single Family Residence,,A,Active,,3290775,Ps 79 Francis Lewis,Queens 25,Jhs 194 William Carr,Queens 25,,Queens 25,0.06,4662,6,Q04662-0006,6340.0
100,84-67 Parsons Blvd,"Jamaica, NY 11432",989000,2,,,,,,,,,,,1930.0,,Multi Family,,,,,,,,,,,,,,,,,
101,69-51 178th St,"Fresh Meadows, NY 11365",968000,6,,,4.0,2.0,2.0,,,,"Private,No Garage",,1945.0,,Residential,Single Family Residence,,A,Active,,3289847,,Queens 26,,Queens 26,,Queens 26,0.09,7131,53,Q07131-0053,9900.0
102,218-23 68th Ave #1,"Oakland Gardens, NY 11364",319999,2,,,,,,,,,,,,,Coop,,,,,,,,,,,,,,,,,
103,219 Burns St,"Forest Hills Gardens, NY 11375",1598000,112,,,,,,,,,"Garage, Garage Attached",,1935.0,,Townhouse,,,,,,,,,,,,,,,,,
104,188-72 85th Rd,"Hollis, NY 11423",988000,99,,,4.0,3.0,3.0,,Hardwood,2.0,"Private,Attached,Driveway",,1965.0,,Residential,Single Family Residence,,A,Active,,3265618,,Queens 26,,Queens 26,,Queens 26,0.12,10506,38,Q10506-0038,10201.0
105,219-15 102nd Ave,"Queens Village, NY 11429",995000,50,,,5.0,5.0,4.0,,Hardwood,1.0,"Private,Attached",,2015.0,,Residential,Single Family Residence,,A,Active,,3280000,,Queens 29,,Queens 29,,Queens 29,0.13,10773,41,Q10773-0041,10889.0
106,174-48 125th Ave #12521-0104,"Jamaica, NY 11434",650000,2,,,,,,,,,,,,,Single Family Home,,,,,,10974253,,,,,,,,,,,
107,602 158th St,"Flushing, NY 11357",5999999,180,,,,,,,,,,,2009.0,,Single Family Home,,,,,,3040190,,,,,,,,,,,
108,112-24 Northern Blvd #2D,"Corona, NY 11368",229000,40,,,3.0,1.0,1.0,,Hardwood,,"Garage,Parking Lot,Public Parking,Waitlist",,1953.0,,Residential,Stock Cooperative,,A,Active,,3282288,,Queens 24,,Queens 24,,Queens 24,,,,,
109,18-41 215th St #Townhouse 15,"Bayside, NY 11360",455000,99,,,3.0,3.0,2.0,,Hardwood,,"Garage,Parking Lot,Off Street",,1970.0,,Residential,Stock Cooperative,,A,Active,,3264535,,Queens 25,,Queens 25,,Queens 25,,5938,0007,,
110,9-09 43rd Ave,"Long Island City, NY 11101",1749000,4,,,,,,,,,,,1901.0,,Multi Family,,,,,,,,,,,,,,,,,
111,94-51 217th St,"Queens Village, NY 11428",799999,25,,,4.0,3.0,2.0,,,1.0,"Shared Driveway,Detached",,1960.0,,Residential,Single Family Residence,,A,Active,,3285772,,Queens 29,,Queens 29,,Queens 29,0.08,10610,53,Q10610-0053,5530.0
112,81-03 91st Ave,"Woodhaven, NY 11421",608000,180,,,,,,,,,,,1920.0,,Single Family Home,,,,,,,,,,,,,,,,,
113,219-52 67th Ave #D,"Oakland Gardens, NY 11364",379000,2,,,,,,,,,Off Street,,,,Coop,,,,,,,,,,,,,,,,,
114,67-76 Booth St #8-O,"Forest Hills, NY 11375",425000,2,,,,,,,,,,,1948.0,,Coop,,,,,,,,,,,,,,,,,
115,190-15 105th Ave,"Saint Albans, NY 11412",509900,180,,,,,,,,,Garage Detached,,1930.0,,Single Family Home,,,,,,T9VTTD,,,,,,,,,,,
116,144-20 Village Rd #65B,"Jamaica, NY 11435",380000,19,,,,,,,,,,,,,Coop,,,,,,,,,,,,,,,,,
117,110-50 71st Rd #3N,"Forest Hills, NY 11375",275000,5,,,,,,,,,"Garage Attached, On Street",,1957.0,,Coop,,,,,,,,,,,,,,,,,
118,83-00 Talbot St #BB1,"Kew Gardens, NY 11415",399000,5,,,,,,,,,,,1930.0,,Coop,,,,,,,,,,,,,,,,,
119,33-47 91st St #5F,"Jackson Heights, NY 11372",435000,91,,,,,,,,,,,1958.0,,Coop,,,,,,,,,,,,,,,,,
